Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.422,11.572,138.864,0,0,138.864
33.211,0.41778,11.459,137.508,1.453,1.057,136.055
66.421,0.41356,11.347,136.164,2.877,2.113,133.287
99.632,0.40934,11.234,134.808,4.271,3.168,130.537
132.843,0.40512,11.121,133.452,5.636,4.223,127.816
166.054,0.4009,11.008,132.096,6.971,5.277,125.125
199.264,0.39668,10.896,130.752,8.277,6.33,122.475
232.475,0.39246,10.783,129.396,9.554,7.384,119.842
265.686,0.38824,10.67,128.04,10.802,8.436,117.238
298.896,0.38402,10.558,126.696,12.02,9.487,114.676
332.107,0.3798,10.445,125.34,13.209,10.539,112.131
365.318,0.37558,10.332,123.984,14.368,11.589,109.616
398.529,0.37136,10.219,122.628,15.498,12.638,107.13
431.739,0.36714,10.107,121.284,16.599,13.686,104.685
464.95,0.36292,9.994,119.928,17.67,14.734,102.258
498.161,0.3587,9.881,118.572,18.712,15.781,99.86
531.372,0.35448,9.768,117.216,19.725,16.828,97.491
564.582,0.35026,9.656,115.872,20.708,17.871,95.164
597.793,0.34604,9.543,114.516,21.662,18.916,92.854
631.004,0.34182,9.43,113.16,22.587,19.96,90.573
664.214,0.3376,9.318,111.816,23.482,21.001,88.334
697.425,0.33338,9.205,110.46,24.348,22.042,86.112
730.636,0.32916,9.092,109.104,25.185,23.083,83.919
763.847,0.32494,8.979,107.748,25.992,24.123,81.756
797.057,0.32072,8.867,106.404,26.77,25.159,79.634
830.268,0.3165,8.754,105.048,27.518,26.196,77.53
863.479,0.31228,8.641,103.692,28.237,27.232,75.455
896.689,0.30806,8.529,102.348,28.927,28.263,73.421
929.9,0.30384,8.416,100.992,29.588,29.297,71.404
963.111,0.29962,8.303,99.636,30.219,30.329,69.417
996.322,0.2954,8.19,98.28,30.82,31.359,67.46
1029.532,0.29118,8.078,96.936,31.393,32.385,65.543
1062.743,0.28696,7.965,95.58,31.936,33.413,63.644
1095.954,0.28274,7.852,94.224,32.45,34.439,61.774
1129.164,0.27852,7.74,92.88,32.934,35.459,59.946
1162.375,0.2743,7.627,91.524,33.389,36.481,58.135
1195.586,0.27008,7.514,90.168,33.814,37.501,56.354
1228.797,0.26586,7.401,88.812,34.211,38.521,54.601
1262.007,0.26164,7.289,87.468,34.578,39.532,52.89
1295.218,0.25742,7.176,86.112,34.915,40.546,51.197
1328.429,0.2532,7.063,84.756,35.223,41.558,49.533
1361.64,0.24898,6.95,83.4,35.502,42.568,47.898
1394.85,0.24476,6.838,82.056,35.752,43.57,46.304
1428.061,0.24054,6.725,80.7,35.972,44.575,44.728
1461.272,0.23632,6.612,79.344,36.163,45.577,43.181
1494.482,0.2321,6.5,78,36.324,46.569,41.676
1527.693,0.22788,6.387,76.644,36.456,47.565,40.188
1560.904,0.22366,6.274,75.288,36.559,48.559,38.729
1594.115,0.21944,6.161,73.932,36.632,49.548,37.3
1627.325,0.21522,6.049,72.588,36.676,50.526,35.912
1660.536,0.211,5.936,71.232,36.691,51.509,34.541
1693.747,0.20678,5.823,69.876,36.676,52.487,33.2
1726.957,0.20256,5.711,68.532,36.632,53.452,31.9
1760.168,0.19834,5.598,67.176,36.559,54.423,30.617
1793.379,0.19412,5.485,65.82,36.456,55.387,29.364
1826.59,0.1899,5.372,64.464,36.324,56.348,28.14
1859.8,0.18568,5.26,63.12,36.163,57.292,26.957
1893.011,0.18146,5.147,61.764,35.972,58.241,25.792
1926.222,0.17724,5.034,60.408,35.752,59.184,24.656
1959.432,0.17302,4.922,59.064,35.502,60.108,23.562
1992.643,0.1688,4.809,57.708,35.223,61.037,22.485
2025.854,0.16458,4.696,56.352,34.915,61.959,21.437
2059.065,0.16036,4.583,54.996,34.578,62.874,20.418
2092.275,0.15614,4.471,53.652,34.211,63.765,19.441
2125.486,0.15192,4.358,52.296,33.814,64.659,18.482
2158.697,0.1477,4.245,50.94,33.389,65.546,17.551
2191.908,0.14348,4.132,49.584,32.934,66.421,16.65
2225.118,0.13926,4.02,48.24,32.45,67.268,15.79
2258.329,0.13504,3.907,46.884,31.936,68.117,14.948
2291.54,0.13082,3.794,45.528,31.393,68.953,14.135
2324.75,0.1266,3.682,44.184,30.82,69.754,13.364
2357.961,0.12238,3.569,42.828,30.219,70.559,12.609
2391.172,0.11816,3.456,41.472,29.588,71.345,11.884
2424.383,0.11394,3.343,40.116,28.927,72.108,11.189
2457.593,0.10972,3.231,38.772,28.237,72.828,10.535
2490.804,0.1055,3.118,37.416,27.518,73.546,9.898
2524.015,0.10128,3.005,36.06,26.77,74.237,9.29
2557.225,0.09706,2.893,34.716,25.992,74.87,8.724
2590.436,0.09284,2.78,33.36,25.185,75.495,8.175
2623.647,0.08862,2.667,32.004,24.348,76.078,7.656
2656.858,0.0844,2.554,30.648,23.482,76.618,7.166
2690.068,0.08018,2.442,29.304,22.587,77.078,6.717
2723.279,0.07596,2.329,27.948,21.662,77.508,6.286
2756.49,0.07174,2.216,26.592,20.708,77.873,5.884
2789.7,0.06752,2.104,25.248,19.725,78.125,5.523
2822.911,0.0633,1.991,23.892,18.712,78.319,5.18
2856.122,0.05908,1.878,22.536,17.67,78.408,4.866
2889.333,0.05486,1.765,21.18,16.599,78.371,4.581
2922.543,0.05064,1.653,19.836,15.498,78.131,4.338
2955.754,0.04642,1.54,18.48,14.368,77.749,4.112
2988.965,0.0422,1.427,17.124,13.209,77.137,3.915
3022.176,0.03798,1.314,15.768,12.02,76.23,3.748
3055.386,0.03376,1.202,14.424,10.802,74.889,3.622
3088.597,0.02954,1.089,13.068,9.554,73.11,3.514
3121.808,0.02532,0.976,11.712,8.277,70.671,3.435
3155.018,0.0211,0.864,10.368,6.971,67.236,3.397
3188.229,0.01688,0.751,9.012,5.636,62.539,3.376
3221.44,0.01266,0.638,7.656,4.271,55.786,3.385
3254.651,0.00844,0.525,6.3,2.877,45.667,3.423
3287.861,0.00422,0.413,4.956,1.453,29.318,3.503
3321.072,0,0.3,3.6,0,0,3.6
